                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8206,                 6.3957,                 2.1424,                0.68427,                0.03866,                0.05027,                0.03148,                 1.5931,                 4.1194,                 1.9154,             3.0152e-05,             3.0152e-05,             3.0152e-05
                      2,                 1.5268,                 5.0026,                 1.7835,                0.64091,                0.15088,                0.14846,                0.08695,                 1.4352,                 3.6359,                 1.8125,             5.9886e-05,             5.9886e-05,             5.9886e-05
                      3,                 1.4045,                   4.16,                 1.6592,                0.59025,                0.18807,                0.21993,                0.13974,                   1.42,                 3.4006,                 1.7664,              8.902e-05,              8.902e-05,              8.902e-05
                      4,                 1.4528,                 3.8106,                 1.6789,                0.53757,                0.23965,                0.24366,                0.15316,                 1.4268,                  3.208,                 1.7782,             8.8297e-05,             8.8297e-05,             8.8297e-05
                      5,                 1.4481,                 3.4849,                 1.6746,                0.63075,                0.23456,                0.30615,                0.20371,                 1.4123,                 2.8333,                 1.7477,             8.7396e-05,             8.7396e-05,             8.7396e-05
                      6,                 1.3719,                 3.2648,                 1.6152,                0.64389,                0.30205,                0.36276,                0.23968,                 1.3522,                 2.8108,                 1.7272,             8.6495e-05,             8.6495e-05,             8.6495e-05
                      7,                 1.3496,                  2.965,                 1.6256,                0.49883,                 0.4343,                0.47219,                0.29011,                 1.3745,                 2.6005,                  1.766,             8.5595e-05,             8.5595e-05,             8.5595e-05
                      8,                 1.3228,                 2.8343,                 1.5969,                0.48905,                0.49809,                0.46818,                0.30146,                 1.3635,                 2.7927,                 1.7618,             8.4694e-05,             8.4694e-05,             8.4694e-05
                      9,                 1.3293,                 2.6681,                 1.5968,                0.58196,                0.44293,                0.49169,                0.32183,                 1.3435,                 2.5172,                 1.7561,             8.3793e-05,             8.3793e-05,             8.3793e-05
                     10,                 1.2873,                 2.4287,                 1.5449,                0.46928,                0.50256,                0.52727,                0.34573,                 1.3316,                  2.372,                 1.7364,             8.2892e-05,             8.2892e-05,             8.2892e-05
                     11,                 1.3082,                 2.3084,                 1.5758,                0.48559,                0.60082,                0.56894,                0.36222,                 1.3054,                 2.2659,                  1.722,             8.1991e-05,             8.1991e-05,             8.1991e-05
                     12,                 1.2624,                 2.1992,                 1.5722,                0.69407,                0.46211,                0.61113,                0.41158,                 1.3066,                 2.1613,                  1.698,              8.109e-05,              8.109e-05,              8.109e-05
                     13,                 1.2545,                  2.089,                 1.5223,                0.72289,                0.47523,                0.63759,                0.43816,                 1.3487,                 2.2352,                  1.736,             8.0189e-05,             8.0189e-05,             8.0189e-05
                     14,                 1.2146,                 1.9758,                 1.5052,                0.74316,                0.48119,                0.66538,                0.44903,                 1.2848,                  1.999,                 1.6954,             7.9288e-05,             7.9288e-05,             7.9288e-05
                     15,                 1.1869,                 1.9397,                 1.4986,                0.57416,                0.60748,                0.66053,                0.45123,                 1.2937,                  2.042,                 1.7176,             7.8387e-05,             7.8387e-05,             7.8387e-05
                     16,                  1.213,                 1.8504,                 1.5088,                0.75068,                0.47826,                0.68125,                0.44461,                 1.3425,                 1.9395,                 1.7519,             7.7487e-05,             7.7487e-05,             7.7487e-05
                     17,                 1.1958,                 1.7595,                 1.4932,                 0.6163,                0.62052,                0.72132,                0.47994,                 1.3359,                 1.7759,                  1.723,             7.6586e-05,             7.6586e-05,             7.6586e-05
                     18,                 1.2043,                  1.803,                 1.5071,                0.71956,                0.57468,                0.71848,                0.49635,                 1.2523,                 1.9036,                  1.699,             7.5685e-05,             7.5685e-05,             7.5685e-05
                     19,                 1.1508,                  1.659,                 1.4408,                0.67312,                0.64269,                0.73188,                0.51046,                 1.2701,                 1.6943,                 1.7152,             7.4784e-05,             7.4784e-05,             7.4784e-05
                     20,                 1.1905,                 1.6081,                 1.4866,                0.64903,                0.65215,                0.73958,                0.50804,                 1.2862,                 1.6886,                 1.7231,             7.3883e-05,             7.3883e-05,             7.3883e-05
                     21,                 1.1297,                 1.5033,                 1.4572,                 0.6712,                0.64014,                0.73946,                 0.5025,                  1.286,                 1.7388,                 1.7115,             7.2982e-05,             7.2982e-05,             7.2982e-05
                     22,                  1.136,                 1.4841,                  1.455,                0.57231,                0.69116,                0.73893,                0.50251,                  1.252,                 1.6499,                 1.7016,             7.2081e-05,             7.2081e-05,             7.2081e-05
                     23,                  1.109,                 1.3947,                 1.4218,                0.70831,                0.64739,                0.78127,                0.55266,                 1.2276,                  1.687,                 1.6809,              7.118e-05,              7.118e-05,              7.118e-05
                     24,                 1.0651,                  1.365,                 1.3981,                0.69954,                0.66661,                0.75956,                0.52879,                 1.2818,                 1.5156,                 1.7369,             7.0279e-05,             7.0279e-05,             7.0279e-05
                     25,                  1.084,                 1.3324,                 1.3951,                0.78295,                0.61967,                0.77896,                0.53937,                 1.2476,                 1.5125,                 1.7354,             6.9378e-05,             6.9378e-05,             6.9378e-05
                     26,                 1.0293,                 1.2851,                 1.3825,                0.75373,                0.61841,                 0.7627,                0.53596,                 1.2758,                 1.4272,                 1.7493,             6.8477e-05,             6.8477e-05,             6.8477e-05
                     27,                 1.0708,                 1.2958,                 1.3974,                0.84004,                 0.5429,                0.72531,                0.50038,                 1.2341,                 1.5549,                 1.6816,             6.7577e-05,             6.7577e-05,             6.7577e-05
